Ship Name,Builder,Class/type,Length (ft),Beam (ft),Depth (ft),Tonnage (GRT),Speed (kn),Launched,Completed,Maiden voyage
SS Adriatic (1871),"Harland & Wolff, Belfast",Oceanic-class ocean liner,452.0,40.9,31.0,3888,14.5,17 October 1871,31 March 1872,11 April 1872
RMS Adriatic (1906),"Harland & Wolff, Belfast",Big Four ocean liner,729.0,75.6,52.6,24679,16,20 September 1906,25 April 1907,8 May 1907
SS Afric,"Harland & Wolff, Belfast",Jubilee-class ocean liner,550.0,63.3,0.0,11948,13.5,16 November 1898,,8 February 1899
SS Albertic,AG Weser,Ocean liner,590.7,72.0,0.0,18940,,23 March 1920,,
SS American (1895),"Harland & Wolff, Belfast",,475.0,55.2,0.0,8249,11,8 August 1895,,9 October 1895
SS Arabic (1881),"Harland & Wolff, Belfast",Cargo/passenger freighter,430.2,42.2,0.0,4368,13,30 April 1881,12 August 1881,10 September 1881
SS Arabic (1902),"Harland & Wolff, Belfast",,600.7,65.5,47.6,15801,16,18 December 1902,21 June 1903,26 June 1903
SS Arabic (1920),"AG Weser, Bremen",,613.0,69.7,0.0,16786,19,7 November 1908,25 April 1909,
SS Armenian,"Harland & Wolff, Belfast",,512.0,59.1,0.0,8825,,25 July 1895,19 September 1895,28 November 1895
SS Asiatic (1870),"Thomas Royden & Sons, Liverpool",,326.4,35.2,25.6,2121,12,1 December 1870,,
SS Athenic,"Harland & Wolff, Belfast",Athenic-class ocean liner,500.2,63.2,0.0,12234,14,17 August 1901,23 January 1902,
SS Atlantic (1870),"Harland & Wolff, Belfast",Oceanic-class ocean liner,421.3,40.7,0.0,3707,14.5,26 November 1870,3 June 1871,8 June 1871
SS Baltic (1871),"Harland & Wolff, Belfast",Oceanic-class ocean liner,452.0,40.9,31.0,3888,14.5,8 March 1871,2 September 1871,14 September 1871
SS Bardic,"Harland & Wolff, Belfast",Cargo ship,450.5,58.4,37.1,8010,11,19 December 1918,13 March 1919,
SS Belgic (1873),"Harland & Wolff, Belfast",Cargo ship,370.0,36.3,0.0,2652,12,14 January 1873,29 March 1873,29 March 1873
SS Belgic (1885),"Harland & Wolff, Belfast",Cargo liner,420.3,45.4,29.5,4212,13,3 Jan 1885,7 Jul 1885,
SS Bovic,"Harland & Wolff, Belfast",,470.0,53.0,35.6,6583,13,28 June 1892,22 August 1892,26 August 1892
HMHS Britannic,"Harland & Wolff, Belfast",Olympic-class ocean liner,882.0,94.0,64.5,48158,21,26 February 1914,12 December 1915,
SS Britannic (1874),"Harland & Wolff, Belfast",Steamship,468.0,0.0,45.0,5004,16,3 February 1874,6 June 1874,25 June 1874
SS Calgaric,"Harland & Wolff, Belfast",Ocean liner,550.2,67.2,0.0,16063,,5 April 1917,,
